"","ISO","year","GDP Measure"
"156","AND",2016,3.70967806978986
"157","AND",2017,0.346071889630295
"158","AND",2018,1.58876549046354
"159","AND",2019,2.01554763848308
"160","AND",2020,-11.1839399355384
"161","AND",2021,8.94941798050814
"162","ARB",1999,1.83673739797017
"163","ARB",2000,6.56567529597724
"164","ARB",2001,1.70044493153168
"165","ARB",2002,0.677285279278706
"166","ARB",2003,4.87514389313479
"167","ARB",2004,8.86713235118548
"168","ARB",2005,5.52311681305511
"169","ARB",2006,6.08734030388736
"170","ARB",2007,4.57057386818454
"171","ARB",2008,5.5555331119797
"172","ARB",2009,0.38833354092489
"173","ARB",2010,4.74781067340896
"174","ARB",2011,3.24751365804008
"175","ARB",2012,5.1478332644664
"176","ARB",2013,2.58579735827979
"177","ARB",2014,2.93553926870702
